Date,Sound,Flame,Humidity,Temperature
2021-07-29 15:04:05,0,0,31,31
2021-07-29 15:04:10,0,0,31,31
2021-07-29 15:04:21,0,0,31,31
2021-07-29 15:04:26,0,0,31,31
2021-07-29 15:04:37,0,0,31,31
2021-07-29 15:04:48,0,0,31,31
2021-07-29 15:04:53,0,0,31,31
2021-07-29 15:04:58,0,0,31,31
2021-07-29 15:05:04,0,0,31,31
2021-07-29 15:05:09,0,0,31,31
2021-07-29 15:05:47,0,0,31,31
2021-07-29 15:05:53,0,0,31,31
2021-07-29 15:05:58,0,0,31,31
2021-07-29 15:06:09,0,0,31,31
2021-07-29 15:06:14,0,0,31,31
2021-07-29 15:06:25,0,0,31,31
2021-07-29 15:06:35,0,0,31,31
2021-07-29 15:06:46,0,0,31,31
2021-07-29 15:06:52,0,0,31,31
2021-07-29 15:06:57,0,0,31,31
2021-07-29 15:07:02,0,0,31,31
2021-07-29 15:07:08,0,0,31,31
2021-07-29 15:07:13,0,0,31,31
2021-07-29 15:07:19,0,0,31,31
2021-07-29 15:07:24,0,0,31,31
2021-07-29 15:07:35,0,0,31,31
2021-07-29 15:07:40,0,0,31,31
2021-07-29 15:07:51,0,0,31,31
2021-07-29 15:14:25,0,0,31,31
2021-07-29 15:14:30,0,0,31,31
2021-07-29 15:14:35,0,0,31,31
2021-07-29 15:14:41,0,0,31,31
2021-07-29 15:14:51,0,0,31,31
2021-07-29 15:14:57,1,0,31,31
2021-07-29 15:15:02,0,0,31,31
2021-07-29 15:15:08,0,0,31,31
2021-07-29 15:15:13,0,0,31,31
2021-07-29 15:15:18,0,0,31,31
2021-07-29 15:15:29,0,0,31,31
2021-07-29 15:15:34,0,1,31,31
2021-07-29 15:15:40,0,1,31,31
2021-07-29 15:15:51,0,0,31,31
2021-07-29 15:15:56,0,1,31,31
2021-07-29 15:16:01,0,1,31,31
2021-07-29 15:16:07,0,0,31,31
2021-07-29 15:16:12,0,0,31,31
2021-07-29 15:16:17,0,0,31,31
2021-07-29 15:16:23,0,0,31,31
2021-07-29 15:16:28,0,0,31,31
2021-07-29 15:16:33,0,0,31,31
2021-07-29 15:16:39,0,0,31,31
2021-07-29 15:16:44,0,0,31,31
2021-07-29 15:16:50,0,0,31,31
2021-07-29 15:17:00,0,0,31,31
2021-07-29 15:17:06,0,0,31,31
2021-07-29 15:17:11,0,0,31,31
2021-07-29 15:17:22,0,0,31,31
2021-07-29 15:17:27,0,0,31,31
2021-07-29 15:17:33,0,0,31,31
2021-07-29 15:17:38,0,0,31,31
2021-07-29 15:17:49,0,0,31,31
2021-07-29 15:27:48,0,0,31,31
2021-07-29 15:27:58,0,0,31,31
2021-07-29 15:28:04,1,0,31,31
2021-07-29 15:28:09,0,0,31,31
2021-07-29 15:28:15,0,0,31,31
2021-07-29 15:28:20,0,0,31,31
2021-07-29 15:28:25,0,0,31,31
2021-07-29 15:28:31,0,0,31,31
2021-07-29 15:28:41,0,0,31,31
2021-07-29 15:28:47,0,0,31,31
2021-07-29 15:28:52,0,0,31,31
2021-07-29 15:28:58,1,0,31,31
2021-07-29 15:29:03,1,0,31,31
2021-07-29 15:29:08,0,0,31,31
2021-07-29 15:29:19,0,0,31,31
2021-07-29 15:29:30,0,0,31,31
2021-07-29 15:29:41,0,0,31,31
2021-07-29 15:29:46,0,0,31,31
2021-07-29 15:29:51,1,0,31,31
2021-07-29 15:29:57,0,0,31,31
2021-07-29 15:30:02,0,0,31,31
2021-07-29 15:30:07,0,0,31,31
2021-07-29 15:30:14,0,0,31,31
2021-07-29 15:30:18,0,0,31,31
2021-07-29 15:30:24,0,0,31,31
2021-07-29 15:33:21,0,0,31,31
2021-07-29 15:33:27,0,0,31,31
2021-07-29 15:33:32,0,0,31,31
2021-07-29 15:33:37,0,0,31,31
2021-07-29 15:33:43,0,0,31,31
2021-07-29 15:33:48,0,0,31,31
2021-07-29 15:33:54,0,0,31,31
2021-07-29 15:33:59,0,0,31,31
2021-07-29 15:34:04,0,0,31,31
2021-07-29 15:34:15,0,1,31,31
2021-07-29 15:34:26,0,1,31,31
2021-07-29 15:34:31,0,1,31,31
2021-07-29 15:34:37,0,0,31,31
2021-07-29 15:34:42,0,0,31,31
2021-07-29 15:34:48,0,0,31,31
2021-07-29 15:34:53,0,0,31,31
2021-07-29 15:35:03,0,0,31,31
2021-07-29 15:35:14,0,0,31,31
2021-07-29 15:35:20,0,0,31,31
2021-07-29 15:35:25,0,0,31,31
2021-07-29 15:35:31,0,0,31,31
2021-07-29 15:35:36,1,0,31,31
2021-07-29 15:35:41,0,0,31,31
2021-07-29 15:37:39,0,0,31,31
2021-07-29 15:37:44,0,0,31,31
2021-07-29 15:37:49,0,0,31,31
2021-07-29 15:37:55,0,1,31,31
2021-07-29 15:38:06,0,1,31,31
2021-07-29 15:38:11,0,0,31,31
2021-07-29 15:38:16,0,0,31,31
2021-07-29 15:38:22,0,0,31,31
2021-07-29 15:38:32,0,0,31,31
2021-07-29 15:45:10,0,0,31,31
2021-07-29 15:45:15,0,0,31,31
2021-07-29 15:45:21,0,0,31,31
2021-07-29 15:45:32,0,0,31,31
2021-07-29 16:10:17,0,0,31,31
2021-07-29 16:10:22,0,0,31,31
2021-07-29 16:10:28,0,0,31,31
2021-07-29 16:17:03,0,0,31,31
2021-07-29 16:17:08,0,0,31,31
2021-07-29 16:17:14,0,0,31,31
2021-07-29 16:18:56,0,0,31,31
2021-07-29 16:19:02,0,0,31,31
2021-07-29 16:21:04,0,0,31,31
2021-07-29 16:21:09,0,0,31,31
2021-07-29 16:21:15,0,0,31,31
2021-07-29 16:25:25,0,0,31,31
2021-07-29 16:25:31,0,0,31,31
2021-07-29 16:25:41,0,0,31,31
2021-12-26 20:54:58,0,0,38,15
2021-12-26 20:55:03,0,0,38,15
2021-12-26 20:55:14,0,0,39,15
2021-12-26 20:55:24,0,0,39,15
2021-12-26 20:55:30,0,0,39,15
2021-12-26 20:55:35,0,0,39,15
2021-12-26 20:55:41,0,0,39,15
2021-12-26 20:55:46,0,0,39,15
2021-12-26 20:55:51,0,0,39,15
2021-12-26 20:55:57,0,0,39,15
2021-12-26 21:36:04,0,0,39,15
2021-12-26 21:36:10,0,0,39,15
2021-12-26 21:36:15,0,0,39,15
2021-12-26 21:36:21,0,0,39,15
2021-12-26 21:36:26,0,0,39,15
2021-12-26 21:36:31,0,0,39,15
2021-12-26 21:41:19,0,0,39,15
2021-12-26 21:41:25,0,0,39,15
2021-12-26 21:41:35,0,0,39,15
2021-12-26 21:41:46,0,0,39,15
2021-12-26 21:41:51,0,0,39,15
2021-12-26 21:41:57,0,0,39,15
2021-12-26 21:42:02,0,0,39,15
2021-12-26 21:49:00,0,0,39,15
2021-12-26 21:49:06,0,0,39,15
2021-12-26 21:49:11,0,0,39,15
2021-12-26 21:49:16,0,0,39,15
2021-12-26 21:49:22,0,0,39,15
2021-12-26 21:49:27,0,0,39,15
2021-12-26 21:57:14,0,0,39,15
2021-12-26 21:57:19,0,0,39,15
2021-12-26 21:57:25,0,0,39,15
2021-12-26 21:57:36,0,0,39,15
2021-12-26 22:03:30,0,0,39,15
2021-12-26 22:03:36,0,0,39,15
2021-12-26 22:03:41,0,0,39,15
2021-12-26 22:03:46,0,0,39,15
2021-12-26 22:03:57,0,0,39,15
2021-12-26 22:04:03,0,0,39,15
2021-12-26 22:04:08,0,0,39,15
